object_number,split,pupil_tier,verdict,reason,mm_per_px_native,tile_side_native_px,grid_rows,grid_cols,tiles_available,tiles_planned,tiles_written
SK-A-106,pupil,tier1,eligible,eligible,0.135291,331,12,16,192,20,20
SK-A-110,pupil,tier1,below_floor,native_coarser_than_floor,0.246051,,,,,0,0
SK-A-1259,pupil,tier1,eligible,eligible,0.065086,688,9,6,54,20,20
SK-A-1304,pupil,tier1,below_floor,native_coarser_than_floor,0.282329,,,,,0,0
SK-A-1575,pupil,tier1,below_floor,native_coarser_than_floor,0.446801,,,,,0,0
SK-A-1576,pupil,tier1,below_floor,native_coarser_than_floor,0.375865,,,,,0,0
SK-A-1577,pupil,tier1,below_floor,native_coarser_than_floor,0.643655,,,,,0,0
SK-A-1578,pupil,tier1,below_floor,native_coarser_than_floor,0.623288,,,,,0,0
SK-A-1579,pupil,tier1,below_floor,native_coarser_than_floor,0.357862,,,,,0,0
SK-A-158,pupil,tier1,below_floor,native_coarser_than_floor,0.210148,,,,,0,0
SK-A-1591,pupil,tier1,eligible,eligible,0.127431,352,13,11,143,20,20
SK-A-1612,pupil,tier1,eligible,eligible,0.066826,670,9,6,54,20,20
SK-A-1645,pupil,tier1,eligible,eligible,0.092175,486,12,9,108,20,20
SK-A-1646,pupil,tier1,eligible,eligible,0.092071,487,12,9,108,20,20
SK-A-1660,pupil,tier2,below_floor,native_coarser_than_floor,0.262231,,,,,0,0
SK-A-1661,pupil,tier2,below_floor,native_coarser_than_floor,0.230056,,,,,0,0
SK-A-1662,pupil,tier1,below_floor,native_coarser_than_floor,0.244383,,,,,0,0
SK-A-1935,cohort,,eligible,eligible,0.069581,644,6,8,48,20,20
SK-A-218,pupil,tier2,eligible,eligible,0.079983,560,8,7,56,20,20
SK-A-2359,pupil,tier1,below_floor,native_coarser_than_floor,0.206150,,,,,0,0
SK-A-2360,pupil,tier1,below_floor,native_coarser_than_floor,0.212843,,,,,0,0
SK-A-245,pupil,tier1,eligible,eligible,0.184120,243,24,19,456,20,20
SK-A-246,pupil,tier1,eligible,eligible,0.118893,377,12,11,132,20,20
SK-A-2507,pupil,tier1,eligible,eligible,0.196458,228,19,28,532,20,20
SK-A-2627,pupil,tier1,eligible,eligible,0.154444,290,18,13,234,20,20
SK-A-2695,pupil,tier1,below_floor,native_coarser_than_floor,0.218051,,,,,0,0
SK-A-2958,pupil,tier1,below_floor,native_coarser_than_floor,0.383137,,,,,0,0
SK-A-2959,pupil,tier1,below_floor,native_coarser_than_floor,0.483658,,,,,0,0
SK-A-2960,pupil,tier1,below_floor,native_coarser_than_floor,0.487561,,,,,0,0
SK-A-3066,cohort,,eligible,eligible,0.075153,596,12,9,108,20,20
SK-A-3103,pupil,tier1,below_floor,native_coarser_than_floor,0.254736,,,,,0,0
SK-A-3106,pupil,tier1,eligible,eligible,0.192057,233,14,11,154,20,20
SK-A-3137,cohort,,below_floor,native_coarser_than_floor,0.334254,,,,,0,0
SK-A-3138,cohort,,eligible,eligible,0.144968,309,16,13,208,20,20
SK-A-3254,pupil,tier1,eligible,eligible,0.162210,276,14,18,252,20,20
SK-A-3276,cohort,,eligible,eligible,0.118894,377,11,9,99,20,20
SK-A-3340,cohort,,eligible,eligible,0.129979,345,14,10,140,20,20
SK-A-3451,pupil,tier1,eligible,eligible,0.127298,352,15,12,180,20,20
SK-A-3477,cohort,,eligible,eligible,0.047794,937,10,7,70,20,20
SK-A-3508,pupil,tier1,eligible,eligible,0.075389,594,7,6,42,20,20
SK-A-3516,pupil,tier2,eligible,eligible,0.174934,256,18,14,252,20,20
SK-A-3517,pupil,tier2,eligible,eligible,0.156484,286,18,14,252,20,20
SK-A-3934,validation,,eligible,eligible,0.043184,1037,8,6,48,20,20
SK-A-3969,pupil,tier1,eligible,eligible,0.193655,231,25,21,525,20,20
SK-A-397,pupil,tier2,eligible,eligible,0.173451,258,25,19,475,20,20
SK-A-3981,cohort,,below_floor,native_coarser_than_floor,0.363210,,,,,0,0
SK-A-3982,cohort,,below_floor,insufficient_tiles,0.015287,2931,3,3,9,0,0
SK-A-4047,pupil,tier1,eligible,eligible,0.037662,1190,6,5,30,20,20
SK-A-4050,cohort,,eligible,eligible,0.075483,594,18,15,270,20,20
SK-A-4057,cohort,,eligible,eligible,0.100629,445,11,9,99,20,20
SK-A-4090,pupil,tier2,eligible,eligible,0.198085,226,18,24,432,20,20
SK-A-4096,ambiguous,,eligible,eligible,0.053107,844,5,4,20,20,20
SK-A-4166,pupil,tier1,eligible,eligible,0.110394,406,13,10,130,20,20
SK-A-4192,pupil,tier1,below_floor,native_coarser_than_floor,0.546327,,,,,0,0
SK-A-42,pupil,tier1,below_floor,native_coarser_than_floor,0.210875,,,,,0,0
SK-A-43,pupil,tier1,eligible,eligible,0.180115,249,24,20,480,20,20
SK-A-44,pupil,tier1,below_floor,native_coarser_than_floor,0.286010,,,,,0,0
SK-A-45,pupil,tier1,below_floor,native_coarser_than_floor,0.383966,,,,,0,0
SK-A-46,pupil,tier1,below_floor,native_coarser_than_floor,0.414821,,,,,0,0
SK-A-4674,cohort,,eligible,eligible,0.100735,445,12,9,108,20,20
SK-A-4691,cohort,,eligible,eligible,0.041720,1074,7,5,35,20,20
SK-A-4702,pupil,tier2,eligible,eligible,0.163119,275,15,14,210,20,20
SK-A-4717,cohort,,eligible,eligible,0.048654,921,8,6,48,20,20
SK-A-4823,pupil,tier1,below_floor,native_coarser_than_floor,0.316369,,,,,0,0
SK-A-4833,cohort,,eligible,eligible,0.074519,601,14,10,140,20,20
SK-A-4853,pupil,tier1,eligible,eligible,0.196061,228,24,22,528,20,20
SK-A-4881,pupil,tier1,eligible,eligible,0.117141,382,14,11,154,20,20
SK-A-4885,cohort,,below_floor,native_coarser_than_floor,0.206910,,,,,0,0
SK-A-4888,pupil,tier1,eligible,eligible,0.114569,391,13,11,143,20,20
SK-A-4889,pupil,tier1,eligible,eligible,0.114546,391,14,11,154,20,20
SK-A-5033,cohort,,eligible,eligible,0.116949,383,41,26,1066,20,20
SK-A-5092,cohort,,eligible,eligible,0.117561,381,24,19,456,20,20
SK-A-582,pupil,tier1,eligible,eligible,0.127885,350,14,12,168,20,20
SK-A-589,pupil,tier2,below_floor,native_coarser_than_floor,0.209000,,,,,0,0
SK-A-612,pupil,tier2,below_floor,native_coarser_than_floor,0.383693,,,,,0,0
SK-A-613,pupil,tier1,below_floor,native_coarser_than_floor,0.481976,,,,,0,0
SK-A-614,pupil,tier1,below_floor,native_coarser_than_floor,0.379705,,,,,0,0
SK-A-683,pupil,tier1,eligible,eligible,0.181801,246,23,19,437,20,20
SK-A-684,pupil,tier1,eligible,eligible,0.177455,252,23,19,437,20,20
SK-A-686,pupil,tier1,eligible,eligible,0.058954,760,5,4,20,20,20
SK-A-714,pupil,tier1,eligible,eligible,0.199869,224,23,18,414,20,20
SK-A-838,pupil,tier2,below_floor,native_coarser_than_floor,0.220070,,,,,0,0
SK-A-839,pupil,tier2,below_floor,native_coarser_than_floor,0.220428,,,,,0,0
SK-A-86,pupil,tier1,eligible,eligible,0.117490,381,13,10,130,20,20
SK-A-869,pupil,tier1,below_floor,native_coarser_than_floor,0.790795,,,,,0,0
SK-A-87,pupil,tier1,eligible,eligible,0.093106,481,10,8,80,20,20
SK-A-88,pupil,tier1,below_floor,insufficient_tiles,0.043981,1019,4,3,12,0,0
SK-A-89,pupil,tier1,below_floor,insufficient_tiles,0.038861,1153,3,3,9,0,0
SK-A-90,pupil,tier1,eligible,eligible,0.135433,331,15,12,180,20,20
SK-C-107,pupil,tier1,eligible,eligible,0.164990,272,23,18,414,20,20
SK-C-1174,pupil,tier2,below_floor,native_coarser_than_floor,0.812373,,,,,0,0
SK-C-127,pupil,tier1,eligible,eligible,0.052949,846,6,4,24,20,20
SK-C-128,pupil,tier1,eligible,eligible,0.049078,913,6,5,30,20,20
SK-C-1467,pupil,tier2,eligible,eligible,0.184096,243,20,17,340,20,20
SK-C-1474,pupil,tier2,below_floor,native_coarser_than_floor,0.214114,,,,,0,0
SK-C-152,pupil,tier1,eligible,eligible,0.116996,383,13,11,143,20,20
SK-C-176,pupil,tier1,eligible,eligible,0.064885,690,8,6,48,20,20
SK-C-1768,cohort,,eligible,eligible,0.111760,401,41,26,1066,20,20
SK-C-1802,pupil,tier1,eligible,eligible,0.146820,305,31,23,713,20,20
SK-C-216,cohort,,below_floor,native_coarser_than_floor,0.218504,,,,,0,0
SK-C-367,pupil,tier1,below_floor,native_coarser_than_floor,0.291684,,,,,0,0
SK-C-370,pupil,tier1,below_floor,native_coarser_than_floor,0.427573,,,,,0,0
SK-C-436,pupil,tier1,below_floor,native_coarser_than_floor,0.326505,,,,,0,0
SK-C-442,pupil,tier2,below_floor,native_coarser_than_floor,0.639902,,,,,0,0
SK-C-5,cohort,,below_floor,native_coarser_than_floor,0.309662,,,,,0,0
SK-C-535,pupil,tier1,below_floor,native_coarser_than_floor,0.276622,,,,,0,0
SK-C-597,cohort,,eligible,eligible,0.102950,435,21,16,336,20,20
SK-C-6,cohort,,below_floor,native_coarser_than_floor,0.256434,,,,,0,0
