object_number,ok,stage,message,l2_norm
SK-A-106,true,,,17.423140
SK-A-110,true,,,16.791996
SK-A-1259,true,,,12.361780
SK-A-1304,true,,,18.651239
SK-A-1575,true,,,18.049589
SK-A-1576,true,,,17.035208
SK-A-1577,true,,,16.461573
SK-A-1578,true,,,16.631271
SK-A-1579,true,,,18.657961
SK-A-158,true,,,16.093100
SK-A-1591,true,,,13.506272
SK-A-1612,true,,,13.778428
SK-A-1645,true,,,13.974683
SK-A-1646,true,,,14.756659
SK-A-1660,true,,,15.242676
SK-A-1661,true,,,12.572721
SK-A-1662,true,,,18.849794
SK-A-1935,true,,,14.722171
SK-A-218,true,,,14.862446
SK-A-2359,true,,,18.131298
SK-A-2360,true,,,21.122213
SK-A-245,true,,,17.020990
SK-A-246,true,,,17.754381
SK-A-2507,true,,,17.195370
SK-A-2627,true,,,13.247725
SK-A-2695,true,,,13.056677
SK-A-2958,true,,,15.484128
SK-A-2959,true,,,13.987514
SK-A-2960,true,,,14.124327
SK-A-3066,true,,,16.383324
SK-A-3103,true,,,16.353045
SK-A-3106,true,,,13.864804
SK-A-3137,true,,,16.413773
SK-A-3138,true,,,11.244576
SK-A-3254,true,,,15.585660
SK-A-3276,true,,,14.685184
SK-A-3340,true,,,14.201961
SK-A-3451,true,,,15.281989
SK-A-3477,true,,,14.591943
SK-A-3508,true,,,14.381849
SK-A-3516,true,,,18.229000
SK-A-3517,true,,,15.252101
SK-A-3934,true,,,15.122298
SK-A-3969,true,,,14.552721
SK-A-397,true,,,16.318569
SK-A-3981,true,,,13.758688
SK-A-3982,true,,,14.467059
SK-A-4047,true,,,15.553202
SK-A-4050,true,,,15.783943
SK-A-4057,true,,,16.601715
SK-A-4090,true,,,15.237973
SK-A-4096,true,,,17.208582
SK-A-4166,true,,,14.078547
SK-A-4192,true,,,13.126802
SK-A-42,true,,,12.486675
SK-A-43,true,,,16.029222
SK-A-44,true,,,13.261322
SK-A-45,true,,,16.457624
SK-A-46,true,,,16.370415
SK-A-4674,true,,,15.893917
SK-A-4691,true,,,14.983226
SK-A-4702,true,,,15.451871
SK-A-4717,true,,,16.281923
SK-A-4823,true,,,15.328708
SK-A-4833,true,,,16.422924
SK-A-4853,true,,,18.693953
SK-A-4881,true,,,14.243128
SK-A-4885,true,,,11.267180
SK-A-4888,true,,,14.171608
SK-A-4889,true,,,15.091378
SK-A-5033,true,,,11.479534
SK-A-5092,true,,,15.425789
SK-A-582,true,,,13.128962
SK-A-589,true,,,15.662210
SK-A-612,true,,,24.800161
SK-A-613,true,,,17.634989
SK-A-614,true,,,15.745678
SK-A-683,true,,,16.416769
SK-A-684,true,,,14.807286
SK-A-686,true,,,15.550242
SK-A-714,true,,,15.146466
SK-A-838,true,,,14.572332
SK-A-839,true,,,14.207052
SK-A-86,true,,,13.624310
SK-A-869,true,,,17.486601
SK-A-87,true,,,17.196943
SK-A-88,true,,,14.910113
SK-A-89,true,,,16.017605
SK-A-90,true,,,14.345222
SK-C-107,true,,,13.186245
SK-C-1174,true,,,18.089449
SK-C-127,true,,,16.635757
SK-C-128,true,,,15.353311
SK-C-1467,true,,,13.627437
SK-C-1474,true,,,14.724666
SK-C-152,true,,,15.079464
SK-C-176,true,,,16.477821
SK-C-1768,true,,,9.127672
SK-C-1802,true,,,18.583979
SK-C-216,true,,,16.787260
SK-C-367,true,,,16.381012
SK-C-370,true,,,14.725956
SK-C-436,true,,,15.366888
SK-C-442,true,,,16.603359
SK-C-5,true,,,13.736887
SK-C-535,true,,,16.972837
SK-C-597,true,,,12.019323
SK-C-6,true,,,15.566051
