object_number,split,stage,error,ok
SK-A-106,pupil,extract,,true
SK-A-110,pupil,extract,,true
SK-A-1259,pupil,extract,,true
SK-A-1304,pupil,extract,,true
SK-A-1575,pupil,extract,,true
SK-A-1576,pupil,extract,,true
SK-A-1577,pupil,extract,,true
SK-A-1578,pupil,extract,,true
SK-A-1579,pupil,extract,,true
SK-A-158,pupil,extract,,true
SK-A-1591,pupil,extract,,true
SK-A-1612,pupil,extract,,true
SK-A-1645,pupil,extract,,true
SK-A-1646,pupil,extract,,true
SK-A-1660,pupil,extract,,true
SK-A-1661,pupil,extract,,true
SK-A-1662,pupil,extract,,true
SK-A-1935,cohort,extract,,true
SK-A-218,pupil,extract,,true
SK-A-2359,pupil,extract,,true
SK-A-2360,pupil,extract,,true
SK-A-245,pupil,extract,,true
SK-A-246,pupil,extract,,true
SK-A-2507,pupil,extract,,true
SK-A-2627,pupil,extract,,true
SK-A-2695,pupil,extract,,true
SK-A-2958,pupil,extract,,true
SK-A-2959,pupil,extract,,true
SK-A-2960,pupil,extract,,true
SK-A-3066,cohort,extract,,true
SK-A-3103,pupil,extract,,true
SK-A-3106,pupil,extract,,true
SK-A-3137,cohort,extract,,true
SK-A-3138,cohort,extract,,true
SK-A-3254,pupil,extract,,true
SK-A-3276,cohort,extract,,true
SK-A-3340,cohort,extract,,true
SK-A-3451,pupil,extract,,true
SK-A-3477,cohort,extract,,true
SK-A-3508,pupil,extract,,true
SK-A-3516,pupil,extract,,true
SK-A-3517,pupil,extract,,true
SK-A-3934,validation,extract,,true
SK-A-3969,pupil,extract,,true
SK-A-397,pupil,extract,,true
SK-A-3981,cohort,extract,,true
SK-A-3982,cohort,extract,,true
SK-A-4047,pupil,extract,,true
SK-A-4050,cohort,extract,,true
SK-A-4057,cohort,extract,,true
SK-A-4090,pupil,extract,,true
SK-A-4096,ambiguous,extract,,true
SK-A-4166,pupil,extract,,true
SK-A-4192,pupil,extract,,true
SK-A-42,pupil,extract,,true
SK-A-43,pupil,extract,,true
SK-A-44,pupil,extract,,true
SK-A-45,pupil,extract,,true
SK-A-46,pupil,extract,,true
SK-A-4674,cohort,extract,,true
SK-A-4691,cohort,extract,,true
SK-A-4702,pupil,extract,,true
SK-A-4717,cohort,extract,,true
SK-A-4823,pupil,extract,,true
SK-A-4833,cohort,extract,,true
SK-A-4853,pupil,extract,,true
SK-A-4881,pupil,extract,,true
SK-A-4885,cohort,extract,,true
SK-A-4888,pupil,extract,,true
SK-A-4889,pupil,extract,,true
SK-A-5033,cohort,extract,,true
SK-A-5092,cohort,extract,,true
SK-A-582,pupil,extract,,true
SK-A-589,pupil,extract,,true
SK-A-612,pupil,extract,,true
SK-A-613,pupil,extract,,true
SK-A-614,pupil,extract,,true
SK-A-683,pupil,extract,,true
SK-A-684,pupil,extract,,true
SK-A-686,pupil,extract,,true
SK-A-714,pupil,extract,,true
SK-A-838,pupil,extract,,true
SK-A-839,pupil,extract,,true
SK-A-86,pupil,extract,,true
SK-A-869,pupil,extract,,true
SK-A-87,pupil,extract,,true
SK-A-88,pupil,extract,,true
SK-A-89,pupil,extract,,true
SK-A-90,pupil,extract,,true
SK-C-107,pupil,extract,,true
SK-C-1174,pupil,extract,,true
SK-C-127,pupil,extract,,true
SK-C-128,pupil,extract,,true
SK-C-1467,pupil,extract,,true
SK-C-1474,pupil,extract,,true
SK-C-152,pupil,extract,,true
SK-C-176,pupil,extract,,true
SK-C-1768,cohort,extract,,true
SK-C-1802,pupil,extract,,true
SK-C-216,cohort,extract,,true
SK-C-367,pupil,extract,,true
SK-C-370,pupil,extract,,true
SK-C-436,pupil,extract,,true
SK-C-442,pupil,extract,,true
SK-C-5,cohort,extract,,true
SK-C-535,pupil,extract,,true
SK-C-597,cohort,extract,,true
SK-C-6,cohort,extract,,true
