object_number,split,stage,error,ok
SK-A-106,pupil,write,,true
SK-A-110,pupil,write,,true
SK-A-1259,pupil,write,,true
SK-A-1304,pupil,write,,true
SK-A-1575,pupil,write,,true
SK-A-1576,pupil,write,,true
SK-A-1577,pupil,write,,true
SK-A-1578,pupil,write,,true
SK-A-1579,pupil,write,,true
SK-A-158,pupil,write,,true
SK-A-1591,pupil,write,,true
SK-A-1612,pupil,write,,true
SK-A-1645,pupil,write,,true
SK-A-1646,pupil,write,,true
SK-A-1660,pupil,write,,true
SK-A-1661,pupil,write,,true
SK-A-1662,pupil,write,,true
SK-A-1935,cohort,write,,true
SK-A-218,pupil,write,,true
SK-A-2359,pupil,write,,true
SK-A-2360,pupil,write,,true
SK-A-245,pupil,write,,true
SK-A-246,pupil,write,,true
SK-A-2507,pupil,write,,true
SK-A-2627,pupil,write,,true
SK-A-2695,pupil,write,,true
SK-A-2958,pupil,write,,true
SK-A-2959,pupil,write,,true
SK-A-2960,pupil,write,,true
SK-A-3066,cohort,write,,true
SK-A-3103,pupil,write,,true
SK-A-3106,pupil,write,,true
SK-A-3137,cohort,write,,true
SK-A-3138,cohort,write,,true
SK-A-3254,pupil,write,,true
SK-A-3276,cohort,write,,true
SK-A-3340,cohort,write,,true
SK-A-3451,pupil,write,,true
SK-A-3477,cohort,write,,true
SK-A-3508,pupil,write,,true
SK-A-3516,pupil,write,,true
SK-A-3517,pupil,write,,true
SK-A-3934,validation,write,,true
SK-A-3969,pupil,write,,true
SK-A-397,pupil,write,,true
SK-A-3981,cohort,write,,true
SK-A-3982,cohort,write,,true
SK-A-4047,pupil,write,,true
SK-A-4050,cohort,write,,true
SK-A-4057,cohort,write,,true
SK-A-4090,pupil,write,,true
SK-A-4096,ambiguous,write,,true
SK-A-4166,pupil,write,,true
SK-A-4192,pupil,write,,true
SK-A-42,pupil,write,,true
SK-A-43,pupil,write,,true
SK-A-44,pupil,write,,true
SK-A-45,pupil,write,,true
SK-A-46,pupil,write,,true
SK-A-4674,cohort,write,,true
SK-A-4691,cohort,write,,true
SK-A-4702,pupil,write,,true
SK-A-4717,cohort,write,,true
SK-A-4823,pupil,write,,true
SK-A-4833,cohort,write,,true
SK-A-4853,pupil,write,,true
SK-A-4881,pupil,write,,true
SK-A-4885,cohort,write,,true
SK-A-4888,pupil,write,,true
SK-A-4889,pupil,write,,true
SK-A-5033,cohort,write,,true
SK-A-5092,cohort,write,,true
SK-A-582,pupil,write,,true
SK-A-589,pupil,write,,true
SK-A-612,pupil,write,,true
SK-A-613,pupil,write,,true
SK-A-614,pupil,write,,true
SK-A-683,pupil,write,,true
SK-A-684,pupil,write,,true
SK-A-686,pupil,write,,true
SK-A-714,pupil,write,,true
SK-A-838,pupil,write,,true
SK-A-839,pupil,write,,true
SK-A-86,pupil,write,,true
SK-A-869,pupil,write,,true
SK-A-87,pupil,write,,true
SK-A-88,pupil,write,,true
SK-A-89,pupil,write,,true
SK-A-90,pupil,write,,true
SK-C-107,pupil,write,,true
SK-C-1174,pupil,write,,true
SK-C-127,pupil,write,,true
SK-C-128,pupil,write,,true
SK-C-1467,pupil,write,,true
SK-C-1474,pupil,write,,true
SK-C-152,pupil,write,,true
SK-C-176,pupil,write,,true
SK-C-1768,cohort,write,,true
SK-C-1802,pupil,write,,true
SK-C-216,cohort,write,,true
SK-C-367,pupil,write,,true
SK-C-370,pupil,write,,true
SK-C-436,pupil,write,,true
SK-C-442,pupil,write,,true
SK-C-5,cohort,write,,true
SK-C-535,pupil,write,,true
SK-C-597,cohort,write,,true
SK-C-6,cohort,write,,true
