object_number,split,tile_row,tile_col,column,reason
SK-A-1591,pupil,15,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-1591,pupil,16,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-1591,pupil,17,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-1591,pupil,18,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-1591,pupil,19,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-1645,pupil,9,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-245,pupil,3,16,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-245,pupil,5,11,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-245,pupil,14,11,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-2507,pupil,23,33,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-2507,pupil,25,8,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3106,pupil,17,10,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3106,pupil,18,11,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3138,cohort,0,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3138,cohort,1,4,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3138,cohort,6,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3138,cohort,7,4,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3276,cohort,0,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3516,pupil,12,3,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3516,pupil,16,4,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3516,pupil,17,11,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3516,pupil,20,5,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-3516,pupil,21,12,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4050,cohort,10,18,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4050,cohort,14,19,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4050,cohort,24,6,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4057,cohort,13,8,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4057,cohort,14,6,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4090,pupil,2,25,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4881,pupil,1,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4881,pupil,2,1,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4881,pupil,3,2,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4881,pupil,4,3,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-4881,pupil,5,4,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-5033,cohort,6,3,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-5033,cohort,9,5,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-5033,cohort,54,35,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-5033,cohort,57,37,hue_circ_std,undefined on this tile (design §4.1); tile retained
SK-A-683,pupil,0,0,hue_circ_std,undefined on this tile (design §4.1); tile retained
