object_number,split,title,cm_width,cm_height,native_px_width,native_px_height,native_megapixels,analyzed_px_width,analyzed_px_height,mm_per_px_native,mm_per_px_analyzed,mm_per_px_cnn_input,native_pixels_used_fraction,resolution_headroom_x,cnn_area_kept_fraction
SK-C-1174,pupil,Officers and other Civic Guardsmen of the V District in Amsterdam under the command of Captain Cornelis de Graeff and Lieutenant Hendrick Lauwrensz,520.000000,367.000000,6401,4578,29.303778,1500,1073,0.812373,3.466667,14.530208,0.054925,4.267333,0.547677
SK-A-1575,pupil,Farao's dochter vindt Mozes in het biezen mandje,493.000000,408.000000,11034,9174,101.225916,1500,1247,0.446801,3.286667,16.009661,0.018478,7.356000,0.636490
SK-C-5,cohort,"Officieren en andere schutters van wijk II in Amsterdam, onder leiding van kapitein Frans Banninck Cocq en luitenant Willem van Ruytenburch, bekend als ‘De Nachtwacht’",453.500000,379.500000,14645,12158,178.053910,1500,1246,0.309662,3.023333,14.715130,0.010497,9.763333,0.635979
SK-A-1576,pupil,Aeneas ontvangt door voorspraak van Venus een nieuwe wapenrusting in de smidse van Vulcanus,413.000000,408.000000,10988,10939,120.197732,1500,1493,0.375865,2.753333,16.057526,0.018632,7.325333,0.762052
SK-A-1579,pupil,Salomon Receives Gifts,409.000000,408.000000,11429,11331,129.501999,1500,1487,0.357862,2.726667,15.838099,0.017224,7.619333,0.758990
SK-C-442,pupil,"Portrait of the Regents of the Nieuwezijds Institute for the Outdoor Relief of the Poor, Amsterdam, c. 1650",314.000000,273.000000,4907,4248,20.844936,1500,1299,0.639902,2.093333,10.622031,0.093476,3.271333,0.663031
SK-A-2959,pupil,The Pharisee and the Publican,293.000000,95.000000,6058,1964,11.897912,1500,486,0.483658,1.953333,3.708281,0.061271,4.038667,0.248062
SK-A-2960,pupil,De rijke man en de arme Lazarus,292.000000,95.000000,5989,1919,11.492891,1500,481,0.487561,1.946667,3.657604,0.062778,3.992667,0.245510
SK-A-2958,pupil,De verloren zoon,289.000000,96.500000,7543,2461,18.563323,1500,489,0.383137,1.926667,3.680234,0.039513,5.028667,0.249594
SK-A-1577,pupil,Abraham Entertaining the Three Angels,282.500000,404.000000,4389,6074,26.658786,1500,2076,0.643655,1.883333,11.035156,0.116810,2.926000,0.553197
SK-C-6,cohort,"De waardijns van het Amsterdamse lakenbereidersgilde, bekend als ‘De Staalmeesters’",279.000000,191.500000,10880,7372,80.207360,1500,1016,0.256434,1.860000,7.381875,0.019001,7.253333,0.518583
SK-C-370,pupil,Portrait of the Governors of the Kloveniersdoelen,275.400000,203.700000,6441,4695,30.240495,1500,1093,0.427573,1.836000,7.838859,0.054215,4.294000,0.557885
SK-A-1578,pupil,The Captain of God's Army Appearing to Joshua,273.000000,408.000000,4380,6756,29.591280,1500,2314,0.623288,1.820000,10.664062,0.117298,2.920000,0.496300
SK-A-613,pupil,Consul Titus Manlius Torquatus laat zijn zoon onthoofden,242.000000,218.000000,5021,4706,23.628826,1500,1406,0.481976,1.613333,8.860729,0.089255,3.347333,0.717646
SK-A-614,pupil,Aeneas Crowning Cloanthus,232.000000,218.000000,6110,5742,35.083620,1500,1410,0.379705,1.546667,8.518750,0.060285,4.073333,0.719688
SK-A-4823,pupil,Venus and Adonis,230.000000,168.000000,7270,5226,37.993020,1500,1078,0.316369,1.533333,6.456771,0.042560,4.846667,0.550229
SK-C-436,pupil,"Six Regents and the Beadle of the Nieuwezijds Institute for the Outdoor Relief of the Poor, Amsterdam, 1657",208.800000,160.200000,6395,4721,30.190795,1500,1107,0.326505,1.392000,6.019312,0.055000,4.263333,0.565031
SK-A-612,pupil,Allegorie op de vrede,208.000000,221.000000,5421,5752,31.181592,1500,1592,0.383693,1.386667,8.125000,0.076584,3.614000,0.721380
SK-C-367,pupil,"Three Regentesses of the Lepers' Asylum in Amsterdam, 1668",208.000000,170.000000,7131,5752,41.017512,1500,1210,0.291684,1.386667,6.554167,0.044249,4.754000,0.617604
SK-A-46,pupil,Allegorie op het onderwijs: Margarita Trip (1640-1714) haar zuster Anna Maria Trip (1652- 1681) onderwijzend,194.800000,208.000000,4696,5428,25.489888,1500,1734,0.414821,1.298667,7.609375,0.102040,3.130667,0.662305
SK-A-869,pupil,"Allegory on the Memory of Frederik Hendrik (1584-1647), Prince of Orange, with the Portrait of his Widow Amalia van Solms",189.000000,307.000000,2390,3956,9.454840,1500,2483,0.790795,1.260000,7.382812,0.393925,1.593333,0.462520
SK-A-45,pupil,Caritas: Joanna de Geer (1629-1691) met haar kinderen Cecilia Trip (1660-1728) en Laurens Trip (geb. 1662),182.000000,167.000000,4740,5224,24.761760,1500,1653,0.383966,1.213333,7.109375,0.100134,3.160000,0.694760
SK-A-3137,cohort,De verloochening van Petrus,169.500000,154.500000,5071,4568,23.164328,1500,1351,0.334254,1.130000,5.963398,0.087484,3.380667,0.689573
SK-C-216,cohort,"Portret van een paar als Isaak en Rebekka, bekend als 'De Joodse bruid'",166.500000,121.500000,7620,5542,42.230040,1500,1091,0.218504,1.110000,4.730508,0.038752,5.080000,0.556865
SK-A-3981,cohort,Stilleven met pauwen,162.500000,145.000000,4474,4759,21.291766,1500,1596,0.363210,1.083333,6.347656,0.112438,2.982667,0.719572
SK-A-4192,pupil,Galerij met uitzicht op een park,148.000000,308.000000,2709,5552,15.040368,1500,3074,0.546327,0.986667,5.781250,0.306575,1.806000,0.373597
SK-A-2507,pupil,The Last Supper,142.000000,100.000000,7228,4918,35.547304,1500,1021,0.196458,0.946667,3.775573,0.043083,4.818667,0.521135
SK-A-110,pupil,Isaac Blessing Jacob,140.200000,115.200000,5698,4689,26.717922,1500,1234,0.246051,0.934667,4.505385,0.069279,3.798667,0.629854
SK-A-44,pupil,"Portrait of Michiel Adriaenszoon de Ruyter (1607-1676), Vice Admiral",138.000000,157.000000,4825,5709,27.545925,1500,1775,0.286010,0.920000,5.390625,0.096657,3.216667,0.647007
SK-A-5033,cohort,Portrait of Marten Soolmans,132.000000,207.500000,11287,17668,199.418716,1500,2349,0.116949,0.880000,5.156250,0.017669,7.524667,0.488905
SK-C-1768,cohort,Portret van Oopjen Coppit,132.000000,207.500000,11811,18326,216.448386,1500,2328,0.111760,0.880000,5.156250,0.016133,7.874000,0.493315
SK-A-1304,pupil,"Willem van der Helm (c 1625-75), Municipal Architect of Leiden, with his Wife Belytgen Cornelisdr van der Schelt (d 1661) and their Son Leendert (1622-64)",127.500000,148.000000,4516,5186,23.419976,1500,1723,0.282329,0.850000,4.980469,0.110355,3.010667,0.666534
SK-A-1660,pupil,"Engel de Ruyter (1649-83), Vice Admiral, Son of Michiel Adriaensz de Ruyter",126.500000,152.000000,4824,5883,28.379592,1500,1829,0.262231,0.843333,4.941406,0.096672,3.216000,0.627905
SK-A-1661,pupil,"Jan van Gelder (1647-73), Naval Captain, Stepson of Michiel Adriaensz de Ruyter",124.000000,149.500000,5390,6677,35.989030,1500,1858,0.230056,0.826667,4.843750,0.077440,3.593333,0.618104
SK-A-1662,pupil,Cornelis Evertsen (1642-1706). Luitenant-admiraal van Zeeland,124.000000,148.000000,5074,6089,30.895586,1500,1800,0.244383,0.826667,4.843750,0.087391,3.382667,0.638021
SK-A-4090,pupil,Vanitas Still Life,120.000000,91.000000,6058,4627,28.030366,1500,1146,0.198085,0.800000,3.581250,0.061326,4.038667,0.584937
