object_number,split,title,d_A,z_A,d_B,z_B,combined,rank_combined,dominant_signal,driver_A,driver_B_1,driver_B_2,z_grad_mag_mean,z_grad_mag_std,z_grad_orient_entropy,z_laplacian_var,z_lbp_entropy,z_glcm_contrast,z_lab_chroma_mean,z_hue_circ_std
SK-A-1645,pupil,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",0.40994143,-0.03897686,6.12248218,5.93237176,5.89339490,1,B,embed_cosine_to_centroid,hue_circ_std,laplacian_var,4.83018253,2.00183460,0.68823528,8.36063639,-3.84990984,6.75924406,-1.23872610,11.83734608
SK-A-4674,cohort,Musical Company,0.32925630,-0.89955736,4.42243163,3.96316073,3.06360337,2,B,embed_cosine_to_centroid,laplacian_var,glcm_contrast,4.83953832,3.30356048,0.63274834,7.68212978,-0.93387402,7.47067890,1.54902776,1.90536866
SK-A-4192,pupil,Galerij met uitzicht op een park,0.69333412,2.98366432,0.88987948,-0.12868269,2.85498162,3,A,embed_cosine_to_centroid,hue_circ_std,grad_mag_mean,0.81845189,0.55849542,0.57303984,0.54756980,-0.24837740,0.64342807,-0.02234763,2.06128734
SK-A-4096,ambiguous,Simson en Delila,0.49980511,0.91950108,2.17288194,1.35745111,2.27695219,4,B,embed_cosine_to_centroid,grad_mag_mean,glcm_contrast,3.52761696,2.05853557,0.35436102,2.46177905,-0.34192376,2.96909597,2.38360719,-0.53825955
SK-A-1612,pupil,Badende mannen,0.52903818,1.23129847,1.84417186,0.97669801,2.20799648,5,A,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.10555998,-0.33863206,0.60186328,-0.27067747,0.85689484,-0.26745449,0.36023520,5.07058856
SK-C-597,cohort,"Portrait of a woman, possibly Maria Trip",0.46725973,0.57237496,2.34303426,1.55454279,2.12691776,6,B,embed_cosine_to_centroid,grad_orient_entropy,lbp_entropy,-0.59027566,0.32853709,-5.40944340,-0.17127999,-3.52303329,-0.18482385,-1.29283039,0.23100990
SK-A-87,pupil,The Night School,0.38968718,-0.25500688,3.00817499,2.32499193,2.06998505,7,B,embed_cosine_to_centroid,lbp_entropy,grad_orient_entropy,-2.12345656,-2.13498440,-3.70657231,-0.78661893,-6.74837192,-1.10240228,-1.33587138,-0.65413584
SK-A-1935,cohort,Landschap met stenen brug,0.63168572,2.32612802,0.65615916,-0.39940678,1.92672124,8,A,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_std,0.21566870,-0.71421149,-0.16217723,-0.57755602,0.51711571,-0.52912506,1.27110294,0.60397900
SK-A-3477,cohort,Joseph telling his dreams,0.54880176,1.44209500,1.24559013,0.28334584,1.72544085,9,A,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,1.41660130,-0.43624801,0.70138453,-0.04177693,0.85124038,0.10400688,1.59489458,-2.53812622
SK-C-1768,cohort,Portret van Oopjen Coppit,0.49086173,0.82411178,1.41119026,0.47516461,1.29927639,10,A,embed_cosine_to_centroid,lbp_entropy,grad_orient_entropy,-0.72578450,1.11187762,-2.26585820,0.39088913,-2.45065830,0.31466384,-1.63746039,-0.30936221
SK-A-1576,pupil,Aeneas ontvangt door voorspraak van Venus een nieuwe wapenrusting in de smidse van Vulcanus,0.50343945,0.95826462,1.29376934,0.33915302,1.29741764,11,A,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,-0.73765151,-0.35459549,0.04137023,-0.70860280,-2.99571364,-0.74606291,0.28280244,1.61435075
SK-A-612,pupil,Allegorie op de vrede,0.51105241,1.03946387,1.03802869,0.04292224,1.08238612,12,A,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,-0.13704965,-0.88519583,0.62800100,-0.60030799,0.21176592,-0.63413542,2.08288402,1.50915240
SK-A-4166,pupil,"Portret van een man, mogelijk Gozen Centen (1611/12-1677)",0.54363095,1.38694366,0.68969691,-0.36055916,1.02638451,13,A,embed_cosine_to_centroid,hue_circ_std,grad_mag_mean,-0.98716631,-0.98495341,0.11206463,-0.53872340,0.05316426,-0.66184597,0.12585715,-1.04944567
SK-A-4057,cohort,Young Woman in Fantasy Costume,0.52444351,1.18229214,0.71799183,-0.32778445,0.85450769,14,A,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,0.00163645,0.75076956,-0.62730920,-0.28302885,-0.17536712,-0.00579264,-1.34059087,1.12198366
SK-A-5033,cohort,Portrait of Marten Soolmans,0.44084877,0.29067806,1.45596987,0.52703395,0.81771201,15,B,embed_cosine_to_centroid,grad_mag_std,lbp_entropy,-0.05211790,2.04609991,-1.27963432,1.72823720,-1.84937920,1.47733928,-1.44587963,0.67229040
SK-A-683,pupil,Roelof Meulenaer (1618/19-1691). Amsterdam Mercantile Courier or Postmaster on the Antwerp Route,0.51711604,1.10413797,0.68995680,-0.36025812,0.74387985,16,A,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-0.26723362,-0.22217596,0.52190235,-0.31734731,0.70439429,-0.31093311,-0.72237431,1.48316568
SK-A-4691,cohort,Self Portrait,0.52002021,1.13511354,0.55976001,-0.51106832,0.62404521,17,A,embed_cosine_to_centroid,grad_mag_std,glcm_contrast,-0.31307242,-0.96686437,0.61190991,-0.65697236,0.40738095,-0.69786393,0.11070709,0.05033197
SK-A-1259,pupil,"Gerard Röver, Merchant and Shipowner in Amsterdam",0.44818028,0.36887532,1.21667753,0.24985566,0.61873098,18,A,embed_cosine_to_centroid,grad_mag_mean,glcm_contrast,2.13855496,0.91874479,0.09544343,1.41500921,-0.57534199,1.68238103,-0.18232836,1.10403620
SK-A-3451,pupil,Shepherd,0.51497184,1.08126814,0.59321850,-0.47231251,0.60895562,19,A,embed_cosine_to_centroid,lab_chroma_mean,lbp_entropy,0.08802314,-0.63924835,0.65251992,-0.15208642,0.71156901,-0.21089507,1.13034651,-0.34853417
SK-A-2360,pupil,Christus voor Kajafas,0.44394459,0.32369773,1.11839608,0.13601380,0.45971153,20,A,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.21680186,-1.05265470,-0.03299066,-0.49679037,1.05935772,-0.47306787,1.82671719,-1.98004461
SK-A-4823,pupil,Venus and Adonis,0.48545010,0.76639191,0.71182276,-0.33493024,0.43146167,21,A,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.12746861,-0.09368878,0.61455942,-0.62236841,-0.98605078,-0.54263739,0.51774628,1.31478856
SK-C-442,pupil,"Portrait of the Regents of the Nieuwezijds Institute for the Outdoor Relief of the Poor, Amsterdam, c. 1650",0.50232749,0.94640465,0.51439637,-0.56361416,0.38279049,22,A,embed_cosine_to_centroid,grad_mag_mean,hue_circ_std,-0.70476593,-0.13011327,0.53161703,-0.55146722,0.43135548,-0.54669427,-0.24627030,-0.68620734
SK-A-1304,pupil,"Willem van der Helm (c 1625-75), Municipal Architect of Leiden, with his Wife Belytgen Cornelisdr van der Schelt (d 1661) and their Son Leendert (1622-64)",0.41137696,-0.02366564,1.32470610,0.37498785,0.35132221,23,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.61189142,0.42259553,0.66964136,-0.15650312,0.91521538,0.03404073,2.11251110,2.77693682
SK-C-127,pupil,A Fisherman's Wife,0.48021299,0.71053336,0.68500010,-0.36599959,0.34453377,24,A,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.29643523,-0.04906489,0.58192814,-0.31343109,0.83186077,-0.22903484,0.57490683,-1.46685833
SK-A-86,pupil,Man Smoking a Pipe,0.37316730,-0.43120652,1.61871547,0.71554625,0.28433973,25,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.20906654,-0.05010845,0.20681441,-0.31138034,0.80625960,-0.18812763,-0.33436243,4.46975658
SK-A-3934,validation,Borstbeeld van een lachende jonge man,0.41571285,0.02258057,1.22545903,0.26002749,0.28260805,26,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-1.35562162,-2.04542326,0.35377359,-0.73424843,0.15909638,-0.94578123,-0.18075992,-2.09183363
SK-A-3981,cohort,Stilleven met pauwen,0.44103049,0.29261628,0.97936557,-0.02502872,0.26758757,27,A,embed_cosine_to_centroid,grad_mag_mean,lab_chroma_mean,1.47612679,0.73157777,0.69805852,0.90082678,0.28902989,0.99893168,1.26821934,-0.98516060
SK-C-152,pupil,'The Anemic Lady',0.45156147,0.40493870,0.87506028,-0.14584814,0.25909056,28,A,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,1.13503906,1.15813594,0.61536891,0.90621008,0.58715526,1.08504074,0.77254739,0.42126199
SK-A-4833,cohort,Portrait van Haesje Jacobsdr van Cleyburgh,0.45467491,0.43814647,0.79302708,-0.24086925,0.19727722,29,A,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,-0.93177179,-1.28970338,0.41291096,-0.67331897,0.31707493,-0.79904225,-0.89549359,0.57864878
SK-A-1575,pupil,Farao's dochter vindt Mozes in het biezen mandje,0.45484320,0.43994135,0.77421587,-0.26265874,0.17728261,30,A,embed_cosine_to_centroid,lbp_entropy,lab_chroma_mean,0.48222992,0.18496287,0.54131183,-0.62608825,-1.36828063,-0.43684997,1.30655962,-0.27090954
SK-A-1662,pupil,Cornelis Evertsen (1642-1706). Luitenant-admiraal van Zeeland,0.48008907,0.70921161,0.52671121,-0.54934958,0.15986203,31,A,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.21166162,-0.62049847,0.23477173,-0.24805227,0.73269835,-0.23966105,-0.45172054,0.93519792
SK-A-2359,pupil,De gevangenneming van Christus,0.35145012,-0.66284001,1.69848631,0.80794681,0.14510680,32,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_mean,2.95752797,0.55801546,0.06533788,1.11272695,0.19735887,1.57336308,-0.52024640,3.16116823
SK-A-614,pupil,Aeneas Crowning Cloanthus,0.41841671,0.05141973,1.00741637,0.00746323,0.05888295,33,A,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,0.41952821,0.37314131,0.40253104,-0.52216380,-0.89883579,-0.30194044,2.21218330,1.25552721
SK-A-2959,pupil,The Pharisee and the Publican,0.44015631,0.28329229,0.70077070,-0.34773211,-0.06443982,34,A,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,0.72881244,0.39058088,0.48826938,-0.53902796,-0.53894436,-0.27387275,1.53295656,0.02311710
SK-C-5,cohort,"Officieren en andere schutters van wijk II in Amsterdam, onder leiding van kapitein Frans Banninck Cocq en luitenant Willem van Ruytenburch, bekend als ‘De Nachtwacht’",0.46631987,0.56235050,0.45803933,-0.62889393,-0.06654343,35,A,embed_cosine_to_centroid,lbp_entropy,grad_mag_std,-0.19209731,0.47408446,-0.31686633,-0.30465911,-1.06220507,-0.21381994,0.15204273,0.16249848
SK-A-4717,cohort,Tobit and Anna with the Kid,0.42652143,0.13786390,0.78110916,-0.25467408,-0.11681017,36,A,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,0.82384532,0.41307705,0.03218731,-0.32158580,0.43125158,-0.07313627,1.84366785,0.58035068
SK-A-2627,pupil,"Oude vrouw lezend in een lectionarium; zogenaamd portret van Rembrandts moeder, Neeltgen Willemsdr van Zuijdtbroeck (gest 1640)",0.45791158,0.47266850,0.48704187,-0.59529956,-0.12263106,37,A,embed_cosine_to_centroid,grad_mag_mean,glcm_contrast,-0.74818869,-0.57017398,-0.33045675,-0.51407154,-0.33222888,-0.60273094,0.22202348,-0.34112658
SK-A-2958,pupil,De verloren zoon,0.43935426,0.27473772,0.64886722,-0.40785322,-0.13311550,38,A,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,-0.26698141,-0.32924004,0.32887053,-0.66673009,-1.06557851,-0.63696562,0.46951270,0.93500881
SK-A-589,pupil,Portrait of Abraham de Visscher (1605-67). Amsterdam merchant and director of the Dutch West India Company,0.42456134,0.11695780,0.77646991,-0.26004783,-0.14309003,39,A,embed_cosine_to_centroid,grad_mag_std,hue_circ_std,-0.52582892,-1.18023647,0.04718541,-0.53646926,0.77242761,-0.60668198,-0.85164755,1.08339894
SK-A-4889,pupil,Portret van Petronella Dunois,0.31714775,-1.02870603,1.71615443,0.82841222,-0.20029380,40,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.09251851,-0.26077626,0.55348418,-0.16730446,0.71455838,-0.14208952,-0.27892703,4.74784217
SK-C-6,cohort,"De waardijns van het Amsterdamse lakenbereidersgilde, bekend als ‘De Staalmeesters’",0.43934995,0.27469181,0.54279626,-0.53071786,-0.25602606,41,A,embed_cosine_to_centroid,lab_chroma_mean,lbp_entropy,0.17813545,-0.09400005,0.54228382,-0.34274275,0.95280234,-0.27938903,0.95865400,0.00126395
