signal,floor,recipe_id,tile_px,tile_mm,object_number,split,pupil_tier,creator,title,n_tiles,score,tile_spread
B,0.15,sweep_b_015,150,22.5,SK-A-106,pupil,tier1,Gerbrand van den Eeckhout,Christ and the Woman in Adultery,20,0.73980628,0.95052152
B,0.15,sweep_b_015,150,22.5,SK-A-1259,pupil,tier1,Nicolaes Maes,"Gerard Röver, Merchant and Shipowner in Amsterdam",20,1.51836060,1.69099328
B,0.15,sweep_b_015,150,22.5,SK-A-1591,pupil,tier1,Carel Fabritius,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,20,1.06846605,0.66619108
B,0.15,sweep_b_015,150,22.5,SK-A-1612,pupil,tier1,Gerbrand van den Eeckhout,Badende mannen,20,0.49110757,0.88261008
B,0.15,sweep_b_015,150,22.5,SK-A-1645,pupil,tier1,Nicolaes Maes,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",20,5.41905407,3.23826412
B,0.15,sweep_b_015,150,22.5,SK-A-1646,pupil,tier1,Nicolaes Maes,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",20,0.95817101,0.57782630
B,0.15,sweep_b_015,150,22.5,SK-A-1935,cohort,,,Landschap met stenen brug,20,0.61649897,1.09394934
B,0.15,sweep_b_015,150,22.5,SK-A-218,pupil,tier2,Jan Lievens,Joost van den Vondel (1587-1679). Dichter,20,0.58011058,0.63245744
B,0.15,sweep_b_015,150,22.5,SK-A-246,pupil,tier1,Nicolaes Maes,De spinster,20,0.74881727,0.49570987
B,0.15,sweep_b_015,150,22.5,SK-A-3066,cohort,,,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",20,0.42620396,1.21499504
B,0.15,sweep_b_015,150,22.5,SK-A-3138,cohort,,,Titus in monniksdracht,20,0.59263631,0.58170296
B,0.15,sweep_b_015,150,22.5,SK-A-3276,cohort,,,Jeremiah Lamenting the Destruction of Jerusalem,20,0.52543621,0.86111426
B,0.15,sweep_b_015,150,22.5,SK-A-3340,cohort,,,Borstbeeld van een man in oosterse kleding,20,0.65945489,2.04218318
B,0.15,sweep_b_015,150,22.5,SK-A-3451,pupil,tier1,Govert Flinck,Shepherd,20,0.69206728,1.00215340
B,0.15,sweep_b_015,150,22.5,SK-A-3477,cohort,,,Joseph telling his dreams,20,0.64315964,1.11116554
B,0.15,sweep_b_015,150,22.5,SK-A-3508,pupil,tier1,Nicolaes Maes,Portret van een jonge man,20,0.65720063,0.77717145
B,0.15,sweep_b_015,150,22.5,SK-A-3934,validation,,,Borstbeeld van een lachende jonge man,20,0.64805734,0.45177971
B,0.15,sweep_b_015,150,22.5,SK-A-4047,pupil,tier1,Nicolaes Maes,Woman at a Cradle,20,0.57774698,0.73400172
B,0.15,sweep_b_015,150,22.5,SK-A-4050,cohort,,,Self Portrait as the Apostle Paul,20,0.60604471,0.64439234
B,0.15,sweep_b_015,150,22.5,SK-A-4057,cohort,,,Young Woman in Fantasy Costume,20,2.46656739,1.06374967
B,0.15,sweep_b_015,150,22.5,SK-A-4096,ambiguous,,,Simson en Delila,20,2.08973630,0.85016208
B,0.15,sweep_b_015,150,22.5,SK-A-4166,pupil,tier1,Govert Flinck,"Portret van een man, mogelijk Gozen Centen (1611/12-1677)",20,0.50376388,1.23435413
B,0.15,sweep_b_015,150,22.5,SK-A-4674,cohort,,,Musical Company,20,8.88393576,3.12619881
B,0.15,sweep_b_015,150,22.5,SK-A-4691,cohort,,,Self Portrait,20,0.41132379,0.87085376
B,0.15,sweep_b_015,150,22.5,SK-A-4717,cohort,,,Tobit and Anna with the Kid,20,1.06260326,1.76928761
B,0.15,sweep_b_015,150,22.5,SK-A-4833,cohort,,,Portrait van Haesje Jacobsdr van Cleyburgh,20,0.61887444,0.76598275
B,0.15,sweep_b_015,150,22.5,SK-A-4881,pupil,tier1,Nicolaes Maes,"Portrait of a young man, possibly Simon van Alphen (1650-1730)",20,0.51479395,1.27993263
B,0.15,sweep_b_015,150,22.5,SK-A-4888,pupil,tier1,Nicolaes Maes,Portret van Pieter Groenendijk,20,0.51223729,1.45596305
B,0.15,sweep_b_015,150,22.5,SK-A-4889,pupil,tier1,Nicolaes Maes,Portret van Petronella Dunois,20,0.52060695,1.00239727
B,0.15,sweep_b_015,150,22.5,SK-A-5033,cohort,,,Portrait of Marten Soolmans,20,0.62836856,0.85615366
B,0.15,sweep_b_015,150,22.5,SK-A-5092,cohort,,,The Standard Bearer,20,0.56012652,0.68661945
B,0.15,sweep_b_015,150,22.5,SK-A-582,pupil,tier1,Govert Flinck,"Portret van een man, vermoedelijk Augustijn Wtenbogaert (1577-1655)",20,0.52854074,1.27828010
B,0.15,sweep_b_015,150,22.5,SK-A-686,pupil,tier1,Gerrit Dou,Johan Wittert van der Aa (1604-1670),20,0.49012060,0.97684603
B,0.15,sweep_b_015,150,22.5,SK-A-86,pupil,tier1,Gerrit Dou,Man Smoking a Pipe,20,0.35424963,1.18219564
B,0.15,sweep_b_015,150,22.5,SK-A-87,pupil,tier1,Gerrit Dou,The Night School,20,3.95429558,0.10986424
B,0.15,sweep_b_015,150,22.5,SK-A-90,pupil,tier1,Gerrit Dou,Portrait of a Couple in a Landscape,20,0.71529789,0.32717355
B,0.15,sweep_b_015,150,22.5,SK-C-127,pupil,tier1,Gerrit Dou,A Fisherman's Wife,20,0.56011948,0.65139504
B,0.15,sweep_b_015,150,22.5,SK-C-128,pupil,tier1,Gerrit Dou,A Hermit,20,0.59040636,0.87671825
B,0.15,sweep_b_015,150,22.5,SK-C-152,pupil,tier1,Samuel van Hoogstraten,'The Anemic Lady',20,0.83345951,0.82711072
B,0.15,sweep_b_015,150,22.5,SK-C-176,pupil,tier1,Nicolaes Maes,De spinster,20,0.64690626,0.60853987
B,0.15,sweep_b_015,150,22.5,SK-C-1768,cohort,,,Portret van Oopjen Coppit,20,0.69694098,0.55248450
B,0.15,sweep_b_015,150,22.5,SK-C-1802,pupil,tier1,Willem Drost,Cimon and Pero (Roman Charity),20,0.55588760,0.79742808
B,0.15,sweep_b_015,150,22.5,SK-C-597,cohort,,,"Portrait of a woman, possibly Maria Trip",20,0.89793695,1.35017042
B,0.20,tiles_v1,150,30,SK-A-106,pupil,tier1,Gerbrand van den Eeckhout,Christ and the Woman in Adultery,20,0.37036583,0.73623826
B,0.20,tiles_v1,150,30,SK-A-1259,pupil,tier1,Nicolaes Maes,"Gerard Röver, Merchant and Shipowner in Amsterdam",20,2.11749774,1.89500190
B,0.20,tiles_v1,150,30,SK-A-1591,pupil,tier1,Carel Fabritius,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,20,1.22798112,0.46317373
B,0.20,tiles_v1,150,30,SK-A-1612,pupil,tier1,Gerbrand van den Eeckhout,Badende mannen,20,0.58337345,0.71209051
B,0.20,tiles_v1,150,30,SK-A-1645,pupil,tier1,Nicolaes Maes,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",20,5.87351671,2.40292973
B,0.20,tiles_v1,150,30,SK-A-1646,pupil,tier1,Nicolaes Maes,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",20,0.55948187,0.72751206
B,0.20,tiles_v1,150,30,SK-A-1935,cohort,,,Landschap met stenen brug,20,0.48847554,1.07766179
B,0.20,tiles_v1,150,30,SK-A-218,pupil,tier2,Jan Lievens,Joost van den Vondel (1587-1679). Dichter,20,0.63529442,0.56324898
B,0.20,tiles_v1,150,30,SK-A-246,pupil,tier1,Nicolaes Maes,De spinster,20,1.75314612,0.92303525
B,0.20,tiles_v1,150,30,SK-A-3066,cohort,,,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",20,1.39779013,2.43087847
B,0.20,tiles_v1,150,30,SK-A-3138,cohort,,,Titus in monniksdracht,20,0.53610562,0.63139231
B,0.20,tiles_v1,150,30,SK-A-3276,cohort,,,Jeremiah Lamenting the Destruction of Jerusalem,20,0.57240719,0.98490692
B,0.20,tiles_v1,150,30,SK-A-3340,cohort,,,Borstbeeld van een man in oosterse kleding,20,0.77459503,2.07019757
B,0.20,tiles_v1,150,30,SK-A-3451,pupil,tier1,Govert Flinck,Shepherd,20,0.45119581,1.41618324
B,0.20,tiles_v1,150,30,SK-A-3477,cohort,,,Joseph telling his dreams,20,0.88770051,0.99613635
B,0.20,tiles_v1,150,30,SK-A-3508,pupil,tier1,Nicolaes Maes,Portret van een jonge man,20,0.73738907,0.68320186
B,0.20,tiles_v1,150,30,SK-A-3934,validation,,,Borstbeeld van een lachende jonge man,20,0.91160895,0.48644658
B,0.20,tiles_v1,150,30,SK-A-4047,pupil,tier1,Nicolaes Maes,Woman at a Cradle,20,0.66092067,0.60404491
B,0.20,tiles_v1,150,30,SK-A-4050,cohort,,,Self Portrait as the Apostle Paul,20,0.70052235,1.00328980
B,0.20,tiles_v1,150,30,SK-A-4057,cohort,,,Young Woman in Fantasy Costume,20,1.03743759,1.51100781
B,0.20,tiles_v1,150,30,SK-A-4096,ambiguous,,,Simson en Delila,20,1.60569379,1.71491410
B,0.20,tiles_v1,150,30,SK-A-4166,pupil,tier1,Govert Flinck,"Portret van een man, mogelijk Gozen Centen (1611/12-1677)",20,0.47508567,0.41334699
B,0.20,tiles_v1,150,30,SK-A-4674,cohort,,,Musical Company,20,2.82175450,2.88760675
B,0.20,tiles_v1,150,30,SK-A-4691,cohort,,,Self Portrait,20,0.33833354,0.98908131
B,0.20,tiles_v1,150,30,SK-A-4717,cohort,,,Tobit and Anna with the Kid,20,0.92268064,1.72047665
B,0.20,tiles_v1,150,30,SK-A-4833,cohort,,,Portrait van Haesje Jacobsdr van Cleyburgh,20,0.84595119,0.68471286
B,0.20,tiles_v1,150,30,SK-A-4881,pupil,tier1,Nicolaes Maes,"Portrait of a young man, possibly Simon van Alphen (1650-1730)",20,1.11266814,2.34164610
B,0.20,tiles_v1,150,30,SK-A-4888,pupil,tier1,Nicolaes Maes,Portret van Pieter Groenendijk,20,0.68131252,1.06465275
B,0.20,tiles_v1,150,30,SK-A-4889,pupil,tier1,Nicolaes Maes,Portret van Petronella Dunois,20,0.64271125,1.42241452
B,0.20,tiles_v1,150,30,SK-A-5033,cohort,,,Portrait of Marten Soolmans,20,0.74078839,0.71008342
B,0.20,tiles_v1,150,30,SK-A-5092,cohort,,,The Standard Bearer,20,0.71998459,0.92076907
B,0.20,tiles_v1,150,30,SK-A-582,pupil,tier1,Govert Flinck,"Portret van een man, vermoedelijk Augustijn Wtenbogaert (1577-1655)",20,0.78809286,1.61194322
B,0.20,tiles_v1,150,30,SK-A-686,pupil,tier1,Gerrit Dou,Johan Wittert van der Aa (1604-1670),20,0.52070758,0.62508683
