object_number,split,pupil_tier,creator,title,n_tiles,d_A_tile_median,d_A_tile_iqr,z_A_tile,z_A_tile_mean_variant,z_A_fixed_refit,rank_z_A_tile,z_B_tile
SK-A-106,pupil,tier1,Gerbrand van den Eeckhout,Christ and the Woman in Adultery,20,0.25861051,0.11696602,-1.12414586,-0.87549339,-0.48377940,58,0.41146804
SK-A-1259,pupil,tier1,Nicolaes Maes,"Gerard Röver, Merchant and Shipowner in Amsterdam",20,0.49878285,0.17460990,0.80770354,0.71775926,-0.01885378,8,2.16270619
SK-A-1591,pupil,tier1,Carel Fabritius,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,20,0.40882699,0.25728397,0.08413492,-0.52433323,-0.38940824,27,1.27118408
SK-A-1612,pupil,tier1,Gerbrand van den Eeckhout,Badende mannen,20,0.43108494,0.15494725,0.26316888,0.53363301,0.89120752,21,0.56110100
SK-A-1645,pupil,tier1,Nicolaes Maes,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",20,0.41367800,0.12795206,0.12315444,0.13662661,-0.31835606,25,5.95304555
SK-A-1646,pupil,tier1,Nicolaes Maes,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",20,0.44252548,0.22197455,0.35519190,-0.54595106,-1.14846556,19,0.56178294
SK-A-1935,cohort,,,Landschap met stenen brug,20,0.55147898,0.12138020,1.34366001,2.01517382,2.29114300,4,0.49709971
SK-A-218,pupil,tier2,Jan Lievens,Joost van den Vondel (1587-1679). Dichter,20,0.30946572,0.10604258,-0.71508707,-0.78908222,-0.88554526,48,0.65161885
SK-A-245,pupil,tier1,Nicolaes Maes,"Meisje aan het venster, bekend als 'De peinzende'",20,0.29652640,0.07349657,-0.81916573,-0.53564268,-1.31529848,51,0.46846797
SK-A-246,pupil,tier1,Nicolaes Maes,De spinster,20,0.45379741,0.09277421,0.44585883,0.96362391,0.02682047,17,1.78627951
SK-A-2507,pupil,tier1,Gerbrand van den Eeckhout,The Last Supper,20,0.26368324,0.11111576,-1.08334284,-0.38168332,-0.24302639,56,0.50357618
SK-A-2627,pupil,tier1,Gerrit Dou,"Oude vrouw lezend in een lectionarium; zogenaamd portret van Rembrandts moeder, Neeltgen Willemsdr van Zuijdtbroeck (gest 1640)",20,0.40652831,0.18764230,0.06564527,-1.14821681,0.13126106,28,0.75093338
SK-A-3066,cohort,,,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",20,0.28617048,0.13496294,-0.95814766,-0.93797672,-0.55068797,53,1.44840260
SK-A-3106,pupil,tier1,Nicolaes Maes,Portrait of a young Woman,20,0.46771346,0.13770001,0.55779387,0.91396647,-0.80771968,13,0.99467125
SK-A-3138,cohort,,,Titus in monniksdracht,20,0.30771322,0.10273609,-0.76604374,-0.74723786,-0.39826072,50,0.50794605
SK-A-3254,pupil,tier1,Nicolaes Maes,Groentemarkt,20,0.46700153,0.08659738,0.55206743,0.15403813,-0.54818591,14,0.93641955
SK-A-3276,cohort,,,Jeremiah Lamenting the Destruction of Jerusalem,20,0.28969792,0.19170910,-0.92626317,-0.97989872,-0.52254935,52,0.55314350
SK-A-3340,cohort,,,Borstbeeld van een man in oosterse kleding,20,0.31947864,0.27252429,-0.66346703,-1.20417422,-1.52554544,43,0.82652870
SK-A-3451,pupil,tier1,Govert Flinck,Shepherd,20,0.38777066,0.20016917,-0.08523372,-0.20836789,0.77598011,32,0.49183932
SK-A-3477,cohort,,,Joseph telling his dreams,20,0.45274631,0.16430727,0.45384199,1.31030895,1.54983273,16,0.93052332
SK-A-3508,pupil,tier1,Nicolaes Maes,Portret van een jonge man,20,0.37216285,0.07076612,-0.21077666,0.27041773,-0.33561462,37,0.70195671
SK-A-3516,pupil,tier2,Jacob Backer,"Portrait of Jan Lutma (1584/85-1669), Amsterdam Silversmith",20,0.31431234,0.19616360,-0.67610284,-0.45566017,-0.92005904,45,0.62805425
SK-A-3517,pupil,tier2,Jacob Backer,"Portrait of Sara de Bie, Jan Lutma's second Wife",20,0.32596610,0.19397001,-0.58236463,-0.49976090,-0.17281443,41,0.44309471
SK-A-3934,validation,,,Borstbeeld van een lachende jonge man,20,0.31572074,0.11192266,-0.66477425,-0.88585317,-0.17639265,44,0.89202058
SK-A-3969,pupil,tier1,Aert de Gelder,"Ernestus van Beveren (1660-1722), Lord of West-Ysselmonde and de Lindt, Alderman, Burgomaster and from 1704 on Postmaster of Dordrecht",20,0.39108643,0.21746721,-0.05856299,-0.31799498,-1.70763641,31,0.71851004
SK-A-397,pupil,tier2,Jacob Backer,Portrait of Machtelt Bas (?-1681),20,0.37047992,0.14347007,-0.22431349,-0.15724639,-1.06163440,38,0.99545690
SK-A-4047,pupil,tier1,Nicolaes Maes,Woman at a Cradle,20,0.47194385,0.27496690,0.59182146,-0.56712975,-0.33810105,11,0.62492171
SK-A-4050,cohort,,,Self Portrait as the Apostle Paul,20,0.25080729,0.06111978,-1.28939915,-0.79088054,-1.50318908,60,0.71735308
SK-A-4057,cohort,,,Young Woman in Fantasy Costume,20,0.49336483,0.28241472,0.80430185,0.65377713,0.83780461,9,1.01411910
SK-A-4090,pupil,tier2,Jan Lievens,Vanitas Still Life,20,0.33433656,0.25985824,-0.51503607,-0.81364201,-0.29437569,40,0.52712508
SK-A-4096,ambiguous,,,Simson en Delila,20,0.67028993,0.06091297,2.18723723,3.30104053,0.75081584,1,1.64911571
