object_number,split,pupil_tier,creator,title,n_tiles,z_B_tile,z_B_fixed_refit,rank_z_B_tile,tile_iqr_sigma,support_grad_mag_mean,med_grad_mag_mean,mean_grad_mag_mean,iqr_grad_mag_mean,z_grad_mag_mean,support_grad_mag_std,med_grad_mag_std,mean_grad_mag_std,iqr_grad_mag_std,z_grad_mag_std,support_grad_orient_entropy,med_grad_orient_entropy,mean_grad_orient_entropy,iqr_grad_orient_entropy,z_grad_orient_entropy,support_laplacian_var,med_laplacian_var,mean_laplacian_var,iqr_laplacian_var,z_laplacian_var,support_lbp_entropy,med_lbp_entropy,mean_lbp_entropy,iqr_lbp_entropy,z_lbp_entropy,support_glcm_contrast,med_glcm_contrast,mean_glcm_contrast,iqr_glcm_contrast,z_glcm_contrast,support_lab_chroma_mean,med_lab_chroma_mean,mean_lab_chroma_mean,iqr_lab_chroma_mean,z_lab_chroma_mean,support_hue_circ_std,med_hue_circ_std,mean_hue_circ_std,iqr_hue_circ_std,z_hue_circ_std
SK-A-106,pupil,tier1,Gerbrand van den Eeckhout,Christ and the Woman in Adultery,20,0.41146804,0.66065518,63,0.73802738,20,0.10744956,0.13850508,0.02420934,0.59278966,20,0.076529272,0.099766182,0.029472772,0.10246588,20,2.9872435,2.9835495,0.013976391,0.49842809,20,0.0032018056,0.0060178358,0.0019497046,0.19477714,20,3.1616767,3.1569887,0.019277621,0.38467606,20,0.83587879,1.4361977,0.40561003,0.31863248,20,12.60345,14.968934,7.3903303,0.45419434,20,0.11829776,0.12131645,0.06794572,-0.50038505
SK-A-1259,pupil,tier1,Nicolaes Maes,"Gerard Röver, Merchant and Shipowner in Amsterdam",20,2.16270619,1.10044844,5,1.93042936,20,0.17432184,0.17335491,0.053754955,2.49913163,20,0.16350496,0.16145233,0.06306776,2.61086422,20,2.9589303,2.9575924,0.058307812,-0.19237576,20,0.011365893,0.011735722,0.011256292,3.03141706,20,3.0782604,3.0835027,0.16826411,-0.62762320,20,2.4872353,2.4774091,2.0947332,3.51831720,20,6.2691198,11.292279,10.9727,-0.51365319,20,0.17942439,0.19592101,0.13326717,1.44682740
SK-A-1591,pupil,tier1,Carel Fabritius,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,20,1.27118408,0.59364052,11,0.46585735,20,0.1077268,0.10250097,0.022716481,0.60069293,20,0.077889806,0.086391037,0.016345775,0.14170399,20,2.9924946,2.9921634,0.0092499328,0.62654704,20,0.0032898659,0.0040200482,0.0013006802,0.22537399,20,3.1619472,3.1536519,0.026304422,0.38795863,20,0.83516673,0.93071049,0.23756015,0.31725280,20,21.046432,14.071824,20.140912,1.74423105,15,0.040832197,0.070833403,0.064216942,-2.96808049
SK-A-1612,pupil,tier1,Gerbrand van den Eeckhout,Badende mannen,20,0.56110100,1.67747395,50,0.71769950,20,0.077466055,0.087945244,0.05347598,-0.26195658,20,0.058947332,0.074656036,0.046895924,-0.40460119,20,2.9875618,2.985392,0.00736285,0.50619401,20,0.00092936319,0.0019804721,0.0012065234,-0.59479071,20,3.1864172,3.1791239,0.030119351,0.68491454,20,0.38604823,0.6027135,0.34307385,-0.55296365,20,10.480859,11.707185,5.0437574,0.12987514,20,0.1635308,0.22506162,0.048793653,0.94053106
SK-A-1645,pupil,tier1,Nicolaes Maes,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",20,5.95304555,5.52340749,1,2.41977097,20,0.28764799,0.28314716,0.11758284,5.72974410,20,0.23957992,0.23029257,0.046485297,4.80488310,20,2.9922535,2.9826582,0.015750814,0.62066377,20,0.031749221,0.028963453,0.020595891,10.11367388,20,3.1285069,3.0957706,0.12258105,-0.01785674,20,6.1352393,5.6391927,3.6603665,10.58672563,20,4.683384,5.9046806,5.2012843,-0.75594408,19,0.24397139,0.37700611,0.30457951,3.50299710
SK-A-1646,pupil,tier1,Nicolaes Maes,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",20,0.56178294,0.47180014,49,0.74303453,20,0.110213,0.11556573,0.033516356,0.67156747,20,0.068159051,0.075758287,0.020813411,-0.13893316,20,2.9654593,2.9578798,0.033073168,-0.03307757,20,0.0018893328,0.0020283889,0.0011502692,-0.26124600,20,3.2170068,3.2137787,0.012593859,1.05613549,20,0.65613689,0.71541538,0.3504978,-0.02963720,20,9.1728633,9.6813662,6.656663,-0.06997870,20,0.16318424,0.18046961,0.08076162,0.92949132
SK-A-1935,cohort,,,Landschap met stenen brug,20,0.49709971,0.66121350,58,1.08852930,20,0.091135247,0.11633768,0.051825106,0.13145837,20,0.062815028,0.090911953,0.054587822,-0.30234801,20,2.9678128,2.9681766,0.017960559,0.02504549,20,0.0016272294,0.003152033,0.0023316095,-0.36395079,20,3.2005057,3.1974789,0.017006099,0.90273319,20,0.52437049,0.92965244,0.70547378,-0.29393807,20,15.289295,15.498857,3.8327107,0.91237383,20,0.13511817,0.14358183,0.054478323,0.03645632
SK-A-218,pupil,tier2,Jan Lievens,Joost van den Vondel (1587-1679). Dichter,20,0.65161885,0.52357841,41,0.56619547,20,0.087558797,0.086867851,0.017445167,0.02575934,20,0.06136408,0.073714083,0.021825863,-0.33490164,20,2.9760755,2.9603824,0.030436197,0.22594339,20,0.0016048374,0.00197709,0.0014474694,-0.36009489,20,3.1871588,3.1484506,0.018827754,0.69391486,20,0.52748761,0.6051871,0.25504242,-0.27890930,20,11.563421,15.6114,8.7939398,0.29528404,20,0.084801448,0.098870393,0.053915431,-1.56742296
SK-A-245,pupil,tier1,Nicolaes Maes,"Meisje aan het venster, bekend als 'De peinzende'",20,0.46846797,0.80231977,60,1.54935454,20,0.096942079,0.10795971,0.078209955,0.29325054,20,0.080428135,0.087833369,0.054566448,0.21490997,20,2.9917741,2.9853849,0.010426671,0.60896710,20,0.0015937488,0.0025915648,0.0032538792,-0.36394768,20,3.1910927,3.1749522,0.059942102,0.74165410,20,0.56162162,0.80964597,0.78705242,-0.21277091,20,9.8248038,13.730272,16.284263,0.02963389,17,0.11128153,0.12088123,0.065670506,-0.72388982
SK-A-246,pupil,tier1,Nicolaes Maes,De spinster,20,1.78627951,0.46536315,6,0.92296847,20,0.15260382,0.16204556,0.031332647,1.88001163,20,0.12417771,0.13078419,0.033034785,1.47665751,20,2.9944896,2.9913766,0.0068463392,0.67522251,20,0.0093447587,0.010355724,0.0052289106,2.32916714,20,3.0457157,3.0496774,0.031381213,-1.02256930,20,1.8457581,2.0481479,0.95196596,2.27538468,20,4.6206892,7.2466042,4.8509385,-0.76552345,20,0.21777796,0.22749514,0.12598091,2.66859519
